Cell Methods,Mask,label,title,Regex,Variables,UID
area: depth: time: mean,,adm-tmn,"Area, Depth and Time Mean",1,,a269a4ae-8c9b-11ef-944e-41a8eb05f654
area: depth: time: mean where sea,,admns-tmn,"Area, Depth and Time Mean",1,"Emon.thetaot,Emon.thetaot300,Emon.thetaot700,Emon.thetaot2000",d699cbc7-b93b-11ef-a837-1f323b3b21a2
area: mean,,amn-fx,Fixed Area Mean,1,"AERfx.ch4ref,AERfx.o3ref,AERmon.e90inst,AERmon.o3inst,day.irrDem,day.irrGw,day.irrLut,day.irrSurf,Efx.sftflf,Efx.sftgrf,fx.depthl,fx.depthsl,fx.lithk,fx.orog,fx.rootd,fx.sftgif,fx.sftlf,fx.sftlkf,fx.zfull,Lmon.cGeologicStorage,Lmon.fHarvestToGeologicStorage,Ofx.basin,Ofx.masscello,Ofx.sftof",d699cbc6-b93b-11ef-a837-1f323b3b21a2
area: mean (over land and sea ice) time: point,,amnlsi-tpt,Area Mean Excluding Ice-free Ocean,1,3hr.tslsi,a269a4b0-8c9b-11ef-944e-41a8eb05f654
area: mean time: maximum,,amn-tmax,Time Maximum,1,"6hrPlev.prhmax,AERday.maxpblz,AERday.sfo3max,day.hursmax,day.sfcWindmax,day.tasmax,E1hr.wsgmax10m,E1hr.wsgmax100m,Eday.prhmax,Emon.prhmax,Emon.wsgmax10m,Emon.wsgmax100m,Omon.mlotstmax",a269a4b1-8c9b-11ef-944e-41a8eb05f654
area: mean time: maximum within days time: mean over days,,amn-dmax,Daily Maximum,1,"Amon.tasmax,Emon.sfcWindmax",a269a4b2-8c9b-11ef-944e-41a8eb05f654
area: mean time: mean within days time: mean over days,,amn-tdnl,Mean Diurnal Cycle,1,"E1hrClimMon.rlut,E1hrClimMon.rlutcs,E1hrClimMon.rsdt,E1hrClimMon.rsut,E1hrClimMon.rsutcs",a269a4b3-8c9b-11ef-944e-41a8eb05f654
area: mean time: mean within hours time: maximum over hours,,amn-tmh,Maximum Hourly Rate,1,,a269a4b4-8c9b-11ef-944e-41a8eb05f654
area: mean time: mean within years time: mean over years,,amn-clim,Annual Climatology,1,"Amon.pfull,Amon.phalf",ab8e5d94-d256-11ef-96a8-77e2e964091f
area: mean time: minimum,,amn-tmin,Temporal Minimum,1,"AERday.minpblz,day.hursmin,day.tasmin,Omon.mlotstmin",a269a4b6-8c9b-11ef-944e-41a8eb05f654
area: mean time: minimum within days time: mean over days,,amn-dmin,Daily Minimum,1,Amon.tasmin,a269a4b7-8c9b-11ef-944e-41a8eb05f654
area: mean time: point,,amn-tpt,Area Mean Instantaneous,1,"3hr.huss,3hr.ps,3hr.tas,3hrPt.bldep,3hrPt.uas,3hrPt.vas,6hrLev.bs550aer,6hrLev.ec550aer,6hrLev.hus,6hrLev.ps,6hrLev.ta,6hrLev.zg,6hrPlevPt.hur100,6hrPlevPt.intuaw,6hrPlevPt.pr,6hrPlevPt.psl,6hrPlevPt.ts,6hrPlevPt.ua200,6hrPlevPt.uas,6hrPlevPt.va200,6hrPlevPt.vas,6hrPlevPt.zg700,6hrPlevPt.zg925,CF3hr.clic,CF3hr.clis,CF3hr.clivi,CF3hr.clt,CF3hr.clwc,CF3hr.clws,CF3hr.clwvi,CF3hr.dtauc,CF3hr.dtaus,CF3hr.hurs,CF3hr.pfull,CF3hr.pr,CF3hr.prw,CF3hr.rlds,CF3hr.rldscs,CF3hr.rlut,CF3hr.rlutcs,CF3hr.rsds,CF3hr.rsdscs,CF3hr.rsut,CF3hr.rsutcs,CF3hr.ta,CF3hr.ts,E1hr.huss,E1hr.ps,E1hr.psl,E1hr.ua100m,E1hr.uas,E1hr.va100m,E1hr.vas,E3hrPt.cltcalipso,E3hrPt.hus,Emon.fracLut,Eyr.fracLut",a269a4b8-8c9b-11ef-944e-41a8eb05f654
area: mean time: sum,,amn-ts,Area Mean and Time Sum,1,AERmon.pod0,a269a4b9-8c9b-11ef-944e-41a8eb05f654
area: mean where air time: mean within years time: mean over years,,amna-clim,Annual Climatology in Atmosphere,,"Amon.ch4Clim,Amon.co2Clim,Amon.n2oClim,Amon.o3Clim",a269a4ba-8c9b-11ef-944e-41a8eb05f654
area: mean where air time: point,,amna-tpt,Instantaneous Value on Levels above Ground,,"6hrPlevPt.hur500,6hrPlevPt.hur850,6hrPlevPt.hus7h,6hrPlevPt.rv850,6hrPlevPt.ta,6hrPlevPt.ta7h,6hrPlevPt.ua,6hrPlevPt.ua7h,6hrPlevPt.uaUTLS,6hrPlevPt.va,6hrPlevPt.va7h,6hrPlevPt.vaUTLS,6hrPlevPt.zg,6hrPlevPt.zg7h,6hrPlevPt.zg500,E3hrPt.hus6,E3hrPt.ta6,E3hrPt.ua6,E3hrPt.va6,E3hrPt.wap6",a269a4bb-8c9b-11ef-944e-41a8eb05f654
area: mean where convective_cloud time: point,,amncc-tpt,Instantaneous Mean over convective cloud,1,"CF3hr.reffclic,CF3hr.reffclwc,Esubhr.reffclic,Esubhr.reffclwc",8552c392-da6a-11ef-ad2e-15144caece00
area: mean where crops time: maximum,,amncrp-tmax,Time Maximum over Crops,1,Eday.tasmaxCrop,a269a4bc-8c9b-11ef-944e-41a8eb05f654
